Cu_Cu_A,O_O_A,Yamaguchi_unpaired_zero,active_NOON_L2_pm_h,active_sigma_min_pm_h,active_sigma_min_zero_to_field_h,alpha_xx_dipole_5point_au,alpha_xx_dipole_h_au,alpha_xx_energy_2h_au,alpha_xx_energy_5point_au,alpha_xx_energy_h_au,energy_dipole_relative_difference_5point,energy_dipole_relative_difference_h,h_vs_2h_relative_difference,max_terminal_orbital_gradient,point,zero_energy_Eh
3.6253025872117983,1.3000006852415178,2.040238046774271,2.301497471866158e-07,0.9999805225423193,0.999995091971335,,130.6812215320292,,,130.6896738242358,,6.467452216578224e-05,,1.1865107570316385e-06,001,-3805.975600405025
3.592717407234346,1.350000498106909,2.091082812848814,8.669344087984264e-09,0.9999880836087515,0.9999970146300421,,128.1721195611567,,,128.17831884603947,,4.83645357387998e-05,,8.511749402351053e-07,002,-3805.9915602194674
3.5603172719236085,1.40000003224431,2.146580893268469,1.5978944925706376e-08,0.9999936103925464,0.9999983880722824,,126.36094515343643,,,126.36384053621441,,2.2913064098815166e-05,,1.0209916310740255e-06,003,-3806.003156732613
3.5273543890511734,1.4500000882878983,2.2080482499462804,9.680857323315285e-09,0.9999963458133031,0.9999990681362065,,124.98066817030917,,,124.98273281380534,,1.6519429921930998e-05,,6.847351405096727e-07,004,-3806.01130559186
3.4925333729206187,1.4999991862832578,2.2761153047042333,1.6109648826753197e-09,0.9999975049343423,0.9999993762103287,,123.87822292316741,,,123.88269533403218,,3.6101982223627105e-05,,6.618862809630107e-07,005,-3806.016853896577
3.4541439426453286,1.5499999980902053,2.3508454325208525,6.852753429490152e-09,0.9999979345130638,0.999999461414957,,122.96631942183467,,,122.97260400373489,,5.110554461404161e-05,,1.6762051412054917e-06,006,-3806.0203507215415
3.409664006081395,1.5999997619717066,2.431814845015434,4.091100945098372e-09,0.9999980526678663,0.9999994968341537,,122.19360835482007,,,122.1986603923142,,4.1342822236388925e-05,,8.985025566209838e-07,007,-3806.022020560513
3.3580738368851364,1.650000498552372,2.5184578727434617,2.372494939297587e-08,0.9999980359638878,0.9999995030771889,,121.5374096751134,,,121.54146679677069,,3.3380555329984704e-05,,1.0629108235507082e-06,008,-3806.021982945139
3.2984686447741103,1.7000000691400912,2.6098543694905403,8.017960519899539e-09,0.9999979565253752,0.9999994729078876,,121.06767828447573,,,121.07373913750052,,5.0059187631999235e-05,,2.3589896505342e-06,009,-3806.0202917175156
3.234927077619158,1.7500006171079572,2.703898230251409,2.0201997211515468e-09,0.9999978438623706,0.9999994594595786,120.87060366370395,120.8715004673877,120.87473078281619,120.87406200104547,120.87421782780439,2.861107903776269e-05,2.2480893490066047e-05,4.243691038465207e-06,8.536913583922762e-07,010,-3806.017008605863
